id;message;association_to_offender;time;case_total_reports;allied_report_count;enemy_report_count;most_common_report_reason;chatlog_id;champion_name;label
54;gg;ally;00:59:26;8.0;0.0;2.0;Negative Attitude;1.0;Karma;0
55;talon jungle lol;ally;00:00:27;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
56;gimme blue;ally;00:00:31;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
57;i invade his red;ally;00:00:34;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
58;strange;ally;00:00:34;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
59;leo ward my blue pls;ally;00:00:44;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
60;blue is bot;ally;00:00:54;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
61;lOL;ally;00:00:56;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
62;now that im thinking i shoulda brought elise jungle;enemy;00:01:03;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
63;ILL;ally;00:01:06;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
64;baron;offender;00:01:06;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
65;thats why i want you to ward it;ally;00:01:10;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
66;rly;enemy;00:01:11;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
67;w;enemy;00:01:14;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
68;wow;enemy;00:01:15;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
69;"u said ""i start blue""";ally;00:01:18;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
70;;;;;;;;;;2
71;much game sense;enemy;00:01:20;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
72;start;offender;00:01:22;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
73;ouh;ally;00:01:22;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
74;baron;offender;00:01:24;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
75;i mean red;ally;00:01:24;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
76;guys;offender;00:01:24;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
77;np bro ill ward ur blue;ally;00:01:25;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
78;always;enemy;00:01:26;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
79;ok;enemy;00:01:44;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
80;0;enemy;00:01:46;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
81;not so fast lucian;ally;00:02:00;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
82;w8;ally;00:02:02;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
83;rammus is such a slut;enemy;00:02:03;2.0;1.0;0.0;Offensive Language;10.0;Jinx;1
84;:D;enemy;00:02:07;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
85;cant say no;enemy;00:02:07;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
86;trresh 1 trinket;ally;00:02:21;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
87;FUCK;ally;00:03:18;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;1
88;cmon dude;ally;00:03:26;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
89;FUCKING FUCK FUCK;ally;00:03:28;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;1
90;took my blue ..;enemy;00:03:29;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
91;dont die rammus u have db;enemy;00:03:59;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
92;ok;enemy;00:04:03;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
93;surekill bot;ally;00:04:44;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
94;s1 i saw it last time;ally;00:05:36;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
95;talon bot;ally;00:06:24;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
96;talon golem;ally;00:06:36;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
97;sorry mate;ally;00:06:59;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
98;ramuus mid;ally;00:07:42;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
99;timing blue?;offender;00:08:21;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
100;gj;ally;00:09:19;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
101;n1;ally;00:09:43;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
102;waar box???;enemy;00:09:45;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
103;pro;offender;00:09:47;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
104;hmm ja;enemy;00:09:53;2;1;0;Offensive Language;10;Thresh;2
105;xD;ally;00:10:09;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
106;LOL;enemy;00:10:10;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
107;sure;offender;00:10:10;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
108;sick;ally;00:10:11;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
109;ROFL;enemy;00:10:11;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
110;hahh;offender;00:10:11;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
111;lol;ally;00:10:12;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
112;HAHAHAHAHA;enemy;00:10:15;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
113;that distance is op;ally;00:10:23;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
114;get fked;enemy;00:10:23;2.0;1.0;0.0;Offensive Language;10.0;Jinx;1
115;yea;ally;00:10:30;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
116;but it took you too long to join us...;ally;00:10:36;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
117;wouldnt be different;ally;00:10:45;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
118;mmh we were too weak;ally;00:10:54;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
119;lol this rammus;enemy;00:10:55;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
120;bad idea but nvm;ally;00:10:57;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
121;has no farm doe;enemy;00:11:04;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
122;:DDD;enemy;00:11:10;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
123;rammus useless;ally;00:11:15;2.0;1.0;0.0;Offensive Language;10.0;Renekton;1
124;he just kill rest loose;ally;00:11:24;2.0;1.0;0.0;Offensive Language;10.0;Renekton;1
125;ss 2;ally;00:11:29;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
126;ramuz need killz not frm;enemy;00:11:35;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
127;talon was top ?;ally;00:11:36;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
128;nop;ally;00:11:40;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
129;ok;ally;00:11:46;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
130;LAGGG;offender;00:12:16;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
131;#NAME?;offender;00:12:18;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
132;lantern me;enemy;00:12:25;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
133;come on renek;ally;00:12:25;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
134;IM LAG;offender;00:12:30;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
135;talon bot;ally;00:12:42;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
136;4 bot;ally;00:12:43;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
137;...;ally;00:13:19;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
138;...;ally;00:13:21;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
139;^^^';ally;00:13:40;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
140;gj;enemy;00:13:41;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
141;some prob;ally;00:13:44;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
142;nice :D;enemy;00:13:45;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;0
143;can u stop with the;enemy;00:13:47;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
144;random taxerino;enemy;00:13:50;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
145;also can i get red?;enemy;00:13:54;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
146;we actually fucked everything up;ally;00:13:56;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
147;nop;enemy;00:13:58;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
148;yy;ally;00:14:00;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
149;hard focus jinx;ally;00:14:08;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
150;how renekton;offender;00:14:14;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
151;is 0 2;offender;00:14:15;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
152;teamtwerk;enemy;00:14:16;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
153;gj;ally;00:14:20;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
154;what.?!;ally;00:14:23;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
155;:D;enemy;00:14:24;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;0
156;hax;enemy;00:14:33;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
157;heb sum;enemy;00:14:33;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
158;summoners;enemy;00:14:35;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
159;black guy niet;enemy;00:14:38;2.0;1.0;0.0;Offensive Language;10.0;Jinx;1
160;ik 0;enemy;00:14:39;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
161;box 50;enemy;00:14:40;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
162;again, mundo wins top;enemy;00:14:57;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
163;no u loose top..^^;ally;00:15:12;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
164;ur laning is misarable;ally;00:15:18;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
165;PFF;enemy;00:15:28;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
166;mmh;ally;00:15:43;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
167;we should stay on turret;ally;00:15:47;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
168;need b;enemy;00:16:04;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
169;no pots;enemy;00:16:06;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
170;kheb ignite;enemy;00:16:09;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
171;en boix;enemy;00:16:10;2;1;0;Offensive Language;10;Thresh;2
172;leona you are so bad.you lost this lane gg;ally;00:16:29;2.0;1.0;0.0;Offensive Language;10.0;Lucian;1
173;wp bot.!!!;ally;00:16:29;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
174;i come bot next;ally;00:16:38;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
175;I dont give 4 kills;ally;00:16:40;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
176;not my fault;ally;00:16:42;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
177;she ult and get 2 free kils;ally;00:16:50;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
178;this leona does nothing.not even to protect adc she can;ally;00:16:53;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
179;then 4 kills;ally;00:16:53;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
180;not my fault whe cant do more here !;ally;00:16:58;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
181;xD;ally;00:17:00;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
182;nvm;enemy;00:17:08;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
183;LOL;enemy;00:17:42;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
184;pz;enemy;00:17:47;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
185;haha;ally;00:18:07;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
186;tell me;offender;00:18:13;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
187;boom shakalaka!!!;enemy;00:18:14;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;0
188;why;offender;00:18:14;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
189;oops;enemy;00:18:20;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
190;wow;enemy;00:18:22;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
191;at least you have leona.she's good for you;ally;00:18:34;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
192;wtf are you doing god;ally;00:19:07;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
193;so mad;enemy;00:20:05;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
194;jukerino;enemy;00:20:10;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
195;lets do some teamplay;ally;00:20:15;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
196;yea we need to;ally;00:20:24;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
197;black guy no flash again;enemy;00:20:30;2.0;1.0;0.0;Offensive Language;10.0;Jinx;1
198;llets destroy turrets;ally;00:20:40;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
199;YO;ally;00:21:47;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
200;bb;offender;00:21:55;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
201;gg wp;ally;00:21:55;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
202;talon is on me;ally;00:21:58;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
203;bot lane noob;offender;00:21:59;2.0;1.0;0.0;Offensive Language;10.0;Lux;1
204;leona carried np;ally;00:22:06;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
205;just report them pls;ally;00:22:06;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
206;tss;ally;00:22:07;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
207;they lost alone.;ally;00:22:10;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
208;honor leona for carrying you;ally;00:22:14;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
209;wasnt my loose;ally;00:22:15;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
210;isnt*;ally;00:22:18;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
211;zi;enemy;00:22:51;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
212;ziggs? lol;enemy;00:22:54;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
213;fucking scumbags blocked the lantern;enemy;00:23:00;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;1
214;y :D;enemy;00:23:05;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
215;g;ally;00:23:22;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
216;j;ally;00:23:24;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
217;wow;enemy;00:23:25;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
218;ok, don't focus rene :D;enemy;00:23:27;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
219;70 hp;enemy;00:23:27;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
220;lol;enemy;00:23:28;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
221;als k had;enemy;00:23:32;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
222;geshopt;enemy;00:23:34;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
223;was kill;enemy;00:23:35;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
224;nub;enemy;00:23:41;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
225;im not fed;enemy;00:24:02;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
226;certainly not;enemy;00:24:12;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
227;just hard focus jinx;ally;00:24:12;2.0;1.0;0.0;Offensive Language;10.0;Leona;0
228;need jinx;enemy;00:24:33;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
229;just a joke;ally;00:25:02;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
230;fou;enemy;00:25:07;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;0
231;why dont uu wait for leona mundo?;ally;00:25:07;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
232;cause i wanted drake?;ally;00:25:25;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
233;lets play since we loose;ally;00:25:26;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
234;ik had zelfs nog talisman;enemy;00:25:33;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
235;im bad;enemy;00:25:35;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
236;till*;ally;00:25:36;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
237;and that way youlost h this tf?;ally;00:25:40;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
238;Is that Dutch?;enemy;00:25:50;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
239;you have been doing that all game.start tf's or chases without the team;ally;00:25:52;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
240;uGANDA;enemy;00:25:57;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
241;stop doing that;ally;00:25:57;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
242;whyd u take red lol;enemy;00:26:28;2.0;1.0;0.0;Offensive Language;10.0;Jinx;0
243;swag;enemy;00:26:35;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
244;CARE TALON;ally;00:27:14;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
245;lucian :D;ally;00:27:29;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
246;and again;ally;00:27:33;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
247;this;offender;00:27:40;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
248;why do i die;enemy;00:27:40;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
249;you did this all game dude.thats why we loose;ally;00:27:41;2.0;1.0;0.0;Offensive Language;10.0;Lucian;1
250;always;enemy;00:27:41;2.0;1.0;0.0;Offensive Language;10.0;Thresh;0
251;lucian;offender;00:27:42;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
252;go play barbie;offender;00:27:45;2.0;1.0;0.0;Offensive Language;10.0;Lux;1
253;low swag;enemy;00:27:53;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
254;you screwd thsi sorry;ally;00:27:54;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
255;now dont blame me;ally;00:28:02;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
256;no;offender;00:28:07;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
257;na u suck lucain;ally;00:28:08;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;1
258;i blame;offender;00:28:08;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
259;when you screw this;ally;00:28:09;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
260;you;offender;00:28:11;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
261;run ,you fools;enemy;00:28:13;2.0;1.0;0.0;Offensive Language;10.0;Rammus;1
262;report lux and mundo for flame pleaseÃÂ¤;ally;00:28:19;2.0;1.0;0.0;Offensive Language;10.0;Lucian;0
263;risky;enemy;00:28:21;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
264;qq;offender;00:28:27;2.0;1.0;0.0;Offensive Language;10.0;Lux;0
265;the feeders, want to report..xD;ally;00:28:33;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
266;what a shit* game;enemy;00:29:13;2.0;1.0;0.0;Offensive Language;10.0;Rammus;0
267;im playing with --- ms  oh god xD;enemy;00:29:15;2.0;1.0;0.0;Offensive Language;10.0;Ziggs;0
268;i also have lag, young sir;enemy;00:29:31;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
269;without jinx rammus had lost it i think..xD;ally;00:29:32;2.0;1.0;0.0;Offensive Language;10.0;Renekton;0
270;swag;enemy;00:29:38;2.0;1.0;0.0;Offensive Language;10.0;Talon;0
271;gg wp;ally;00:30:02;2.0;1.0;0.0;Offensive Language;10.0;Dr. Mundo;0
272;me duele mazo la muela;offender;00:01:03;6;2;0;Assisting Enemy Team;100;Janna;2
273;brand care with bliz;ally;00:01:17;6.0;2.0;0.0;Assisting Enemy Team;100.0;Draven;0
274;esta wapo el dravens;offender;00:01:18;6;2;0;Assisting Enemy Team;100;Janna;2
275;te tocan las mas wapas puta foca suertuda;offender;00:01:24;6;2;0;Assisting Enemy Team;100;Janna;2
276;si mola;ally;00:01:27;6;2;0;Assisting Enemy Team;100;Draven;2
277;porque soy positivo;ally;00:01:39;6;2;0;Assisting Enemy Team;100;Draven;2
278;porq eres gordo;offender;00:01:44;6;2;0;Assisting Enemy Team;100;Janna;2
279;junla afk;ally;00:01:45;6;2;0;Assisting Enemy Team;100;Draven;2
280;re;enemy;00:05:58;6.0;2.0;0.0;Assisting Enemy Team;100.0;Twisted Fate;0
281;good gank brother;ally;00:09:35;6.0;2.0;0.0;Assisting Enemy Team;100.0;Lulu;0
282;omg;offender;00:09:47;6.0;2.0;0.0;Assisting Enemy Team;100.0;Janna;0
283;q wena mi fuki;offender;00:11:28;6;2;0;Assisting Enemy Team;100;Janna;2
284;tikiiioÌ¤;ally;00:11:30;6;2;0;Assisting Enemy Team;100;Draven;2
285;SS BOT;enemy;00:12:28;6.0;2.0;0.0;Assisting Enemy Team;100.0;Twisted Fate;0
286;ty janna;ally;00:12:29;6.0;2.0;0.0;Assisting Enemy Team;100.0;Brand;0
287;DAMN;enemy;00:12:30;6.0;2.0;0.0;Assisting Enemy Team;100.0;Twisted Fate;0
288;MNO SE M LANZXA EL PUTO ULTIO+ï¿½ï¿½;offender;00:13:03;6;2;0;Assisting Enemy Team;100;Janna;2
